MonthlyIncome,ActiveSinceDays,Age,Graduate,Married,Single,NoOfChildren,NoOfTeenager,NoOfDaysSinceLastPurchase,AmountSpendOnWines,AmountSpentOnFruits,AmountSpentOnMeat,AmountSpentOnFish,AmountSpentOnSweet,AmountSpentOnGold,NoOfDealsWithDiscount,NoOfWebPurchase,NoOfCatalogPurchase,NoOfStorePurchase,NoOfWebVisitsMonth,PurchasedIn1stCampaign,PurchasedIn2ndCampaign,PurchasedIn3rdCampaign,PurchasedIn4thCampaign,PurchasedIn5thCampaign,TotalNoOfCampaignAccepted,CustomerComplain
76995,2617,71,1,1,0,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,1,0
33812,2762,35,0,0,1,0,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0
37040,2849,38,1,1,0,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
2447,2698,41,1,1,0,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0
58607,2712,71,1,1,0,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,1,0
65324,2328,66,1,1,0,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
40689,2627,69,1,1,0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0
18589,2702,51,1,0,1,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0
53359,2557,44,1,1,0,1,1,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0
38360,2553,31,1,1,0,1,0,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0
84618,2378,55,1,1,0,0,0,96,684,100,801,21,66,0,1,6,9,10,2,0,0,0,0,1,1,0
10979,2197,31,1,0,1,0,0,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0
38620,2573,57,1,1,0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
40548,2786,50,1,1,0,0,1,31,110,0,5,2,0,3,2,2,1,4,5,0,0,0,1,0,1,0
46610,2767,68,1,0,1,0,0,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,0
68657,2653,74,1,1,0,0,0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0
49389,2463,69,1,0,1,0,0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0
67353,2339,50,1,1,0,0,1,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0
23718,2459,44,0,1,0,1,0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0
42429,2297,47,1,0,1,0,0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0
48948,2672,77,1,0,1,0,0,53,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,1,0
80011,2585,40,1,1,0,0,1,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0
20559,2633,35,1,1,0,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0
21994,2711,63,1,1,0,0,1,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0
7500,2429,45,1,1,0,1,0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0
79941,2160,44,1,0,1,0,0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0
7500,2756,24,0,1,0,0,0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,0
41728,2560,52,1,1,0,1,0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0
72550,2757,66,1,1,0,1,1,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0
65486,2207,63,1,0,1,0,0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0
79143,2846,56,1,1,0,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0
35790,2702,43,1,0,1,0,0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0
82582,2181,43,1,0,1,0,0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,2,0
66373,2541,42,1,1,0,1,1,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0
82384,2746,65,1,1,0,0,0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,1,0
70287,2612,54,1,0,1,0,0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,0
27938,2221,32,1,0,1,0,0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0
55954,2277,52,1,1,0,0,1,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0
75777,2519,38,1,0,1,0,0,12,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,2,0
66653,2819,45,1,1,0,1,1,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0
61823,2655,68,1,0,1,0,0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0
67680,2542,69,1,0,1,0,0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0
70666,2364,72,1,1,0,0,0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0
25721,2563,49,1,1,0,1,0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,0
32474,2208,53,1,1,0,1,1,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0
88194,2261,41,0,0,1,0,0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,2,0
69096,2434,62,1,1,0,0,1,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0
74854,2606,50,1,1,0,1,2,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0
66991,2815,66,1,1,0,0,0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0
65031,2628,61,1,1,0,0,1,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0
60631,2609,45,1,1,0,1,1,88,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,1,0
28332,2219,68,1,1,0,0,0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0
40246,2716,43,1,0,1,0,0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0
75251,2830,48,1,1,0,0,0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,0
75825,2784,44,1,0,1,0,0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,1,0
26326,2457,44,0,1,0,0,0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,0,1
56046,2702,55,1,1,0,0,0,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,1,0
29760,2828,35,1,0,1,0,0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0
26304,2530,51,1,1,0,1,0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0
23559,2520,47,0,1,0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0
38620,2573,57,1,1,0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0
81361,2283,33,1,0,1,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0
29440,2481,60,1,1,0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0
36138,2507,50,1,1,0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,1,0
50388,2191,63,1,0,1,0,0,3,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,2,0
79593,2207,47,1,1,0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,1,0
54178,2318,53,1,1,0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0
42394,2257,48,1,0,1,0,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0
23626,2195,50,1,1,0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0
30096,2197,37,1,1,0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0
47916,2743,60,1,0,1,0,0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,1,0
51813,2603,48,1,0,1,0,0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0
78497,2369,69,0,1,0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,1,0
50150,2533,37,1,1,0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0
47823,2500,60,0,0,1,0,0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0
34554,2250,61,1,0,1,0,0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0
85693,2594,41,1,1,0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0
65846,2567,75,1,1,0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0
87195,2211,61,1,1,0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,0
24594,2360,41,0,1,0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0
49096,2437,56,1,1,0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0
52413,2671,51,1,1,0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0
38557,2716,42,1,0,1,0,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0
89058,2728,60,1,1,0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0
77298,2398,41,1,1,0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0
68126,2755,29,1,0,1,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,1,0
57288,2163,57,1,1,0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,1,0
86037,2702,29,1,0,1,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,2,0
43974,2723,40,1,1,0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0
50785,2451,58,1,0,1,0,0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0
90765,2315,50,1,1,0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,2,0
36550,2654,42,0,1,0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0
30753,2512,53,0,1,0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0
21918,2386,51,1,1,0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0
56129,2533,67,1,1,0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0
32557,2284,53,1,0,1,0,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,0
19510,2457,35,1,1,0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0
30992,2592,44,1,0,1,0,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0
101970,2633,37,1,0,1,0,0,69,722,27,102,44,72,168,0,6,8,13,2,1,0,0,1,1,3,0
71488,2655,55,0,1,0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0
79607,2593,36,1,0,1,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,0
54348,2180,67,1,1,0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0
77376,2209,64,1,1,0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0
62998,2431,68,1,1,0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0
61331,2635,62,1,0,1,0,0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0
73448,2298,51,1,1,0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0
41551,2478,56,1,1,0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0
62981,2628,53,1,1,0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,1,0
9548,2849,44,0,0,1,0,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0
33762,2516,61,1,1,0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0
35860,2200,47,1,0,1,0,0,37,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,1,0
36921,2495,55,1,0,1,0,0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0
92859,2777,28,1,0,1,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0
65104,2386,44,1,1,0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0
86111,2595,58,1,1,0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0
68352,2464,46,1,0,1,0,0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0
41883,2626,32,1,1,0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0
59809,2778,44,1,1,0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0
23957,2768,45,1,1,0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,0
38547,2464,39,1,1,0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,0,1
35688,2835,47,0,1,0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0
49605,2167,54,1,1,0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0
59354,2225,67,1,1,0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0
65747,2273,51,1,1,0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,1,0
46344,2721,48,0,1,0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0
34176,2207,32,1,0,1,0,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
61010,2787,68,1,1,0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0
69372,2654,71,1,1,0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,2,0
49967,2515,62,1,0,1,0,0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0
60199,2449,42,1,0,1,0,0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0
55375,2414,43,1,1,0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0
80317,2472,65,1,0,1,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0
30523,2522,62,1,0,1,0,0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0
70356,2760,75,1,1,0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0
23228,2334,36,1,1,0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0
74165,2583,45,1,0,1,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0
43482,2387,54,1,1,0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0
62551,2382,67,1,0,1,0,0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,1,0
52332,2464,61,1,0,1,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,1,0
66951,2398,32,1,0,1,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0
26091,2283,63,1,1,0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0
33456,2228,55,1,1,0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0
28718,2510,38,1,1,0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0
50447,2228,50,1,1,0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0
53537,2309,61,1,1,0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0
52074,2245,53,1,0,1,0,0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,1,0
80427,2814,45,1,1,0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0
83837,2719,72,1,1,0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,2,0
38853,2196,50,1,1,0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0
38285,2164,61,1,1,0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0
78497,2369,69,0,1,0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,1,0
51650,2208,44,1,1,0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0
16248,2209,32,0,1,0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0
66835,2433,74,1,1,0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0
30477,2317,36,1,1,0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0
28249,2173,59,0,1,0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0
25271,2730,37,1,1,0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0
32303,2272,50,1,0,1,0,0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0
61286,2490,54,1,1,0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0
74068,2626,44,1,1,0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0
45759,2650,56,1,1,0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0
24882,2817,42,0,1,0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,1,0,0,1,0
66973,2567,31,1,1,0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0
38872,2554,32,1,1,0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0
51148,2655,47,1,1,0,1,1,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0
31353,2341,43,1,1,0,1,1,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0
69661,2206,40,1,1,0,0,0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0
80067,2442,66,1,1,0,0,0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,0,0,1,1,0
86718,2687,66,1,1,0,0,0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0
46854,2249,47,1,0,1,0,0,81,96,1,79,7,1,79,6,5,1,3,8,0,0,1,0,0,1,0
69142,2159,68,1,0,1,0,0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,0,1,0,1,0
75922,2361,52,1,0,1,0,0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0
63693,2417,42,1,0,1,0,0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0
102160,2763,43,1,1,0,0,0,54,763,29,138,76,176,58,0,7,9,10,4,1,0,0,1,1,3,0
40637,2506,55,1,0,1,0,0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0
18890,2755,36,1,0,1,0,0,5,6,4,1,7,2,15,1,0,1,2,6,0,0,1,0,0,1,0
29604,2362,32,1,1,0,1,0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,1,0,0,1,0
48721,2571,57,1,0,1,0,0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0
44794,2180,54,1,1,0,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0
64497,2816,66,1,0,1,0,0,17,1170,48,320,42,32,192,5,11,4,9,8,0,0,1,0,0,1,0
46097,2614,64,1,1,0,0,1,11,72,24,68,65,4,8,5,3,1,6,4,0,0,0,0,0,0,0
77972,2262,66,1,1,0,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,0
44377,2791,52,1,1,0,1,1,70,224,0,30,0,0,10,8,5,1,5,8,0,0,0,0,0,0,0
46014,2683,46,1,1,0,1,1,21,410,0,59,19,9,44,10,7,1,8,7,0,0,0,0,0,0,0
70951,2580,35,1,1,0,0,0,66,239,10,554,254,87,54,1,3,4,9,1,0,0,0,0,0,0,0
41443,2248,43,1,1,0,1,0,79,171,7,171,25,19,89,6,8,1,5,8,0,0,0,0,0,0,0
52195,2207,42,0,0,1,0,0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0
83790,2385,72,1,1,0,0,0,81,1076,16,417,42,48,16,1,8,10,6,3,0,0,0,1,1,2,0
44551,2461,66,1,0,1,0,0,24,182,4,33,0,0,66,2,4,1,5,7,0,0,0,0,0,0,0
69508,2751,40,1,1,0,1,0,48,824,32,162,42,32,43,2,11,4,11,6,0,0,0,0,0,0,0
45204,2238,32,0,1,0,1,0,93,30,11,25,29,1,18,1,1,1,4,3,0,0,0,0,0,0,0
72460,2386,51,1,1,0,0,0,56,377,10,540,80,30,10,1,3,5,7,1,0,0,0,0,0,0,0
77622,2235,50,1,1,0,0,2,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0
30732,2699,40,1,1,0,1,0,44,155,1,25,0,1,3,4,4,1,4,8,0,0,0,0,0,0,0
63887,2818,58,1,0,1,0,0,38,897,23,207,15,11,92,5,9,6,12,6,0,0,0,0,0,0,0
42011,2619,42,1,1,0,1,0,46,131,0,16,2,1,39,4,3,1,4,8,0,0,0,0,0,0,0
51369,2771,44,1,1,0,0,1,84,297,7,79,0,11,182,2,8,2,4,8,0,0,0,0,0,0,0
51537,2726,68,1,0,1,0,0,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,0
79930,2849,48,1,1,0,0,0,72,792,86,740,67,51,17,1,3,5,8,2,0,0,0,0,0,0,0
34320,2292,34,1,1,0,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,0
37070,2625,54,1,0,1,0,0,30,231,7,137,4,15,39,9,5,1,8,7,0,0,0,0,0,0,0
81975,2699,58,0,0,1,0,0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,0,0,1,1,0
38590,2569,49,1,1,0,1,0,65,3,1,8,4,3,3,1,1,0,2,8,0,0,0,0,0,0,0
15033,2233,69,1,0,1,0,0,37,0,4,5,6,0,4,1,1,0,3,3,0,0,0,0,0,0,0
62745,2622,55,1,1,0,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,0
22212,2361,45,0,1,0,1,0,49,5,9,20,6,8,21,2,2,0,4,6,0,0,0,0,0,0,0
23661,2366,38,1,1,0,1,0,46,18,0,4,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0
79761,2427,62,1,0,1,0,0,32,415,5,124,15,35,11,1,5,2,11,3,0,0,0,0,0,0,0
7500,2344,47,1,0,1,0,0,54,5,3,10,12,7,20,4,3,1,3,7,0,0,0,0,0,0,0
73455,2403,52,1,0,1,0,0,98,901,61,757,186,163,20,1,6,5,10,3,0,0,0,1,0,1,0
64961,2712,62,1,1,0,0,1,97,382,114,276,75,124,38,2,6,4,4,3,0,0,0,0,0,0,0
22804,2492,49,1,0,1,0,0,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,0
73687,2372,30,1,1,0,0,0,8,559,153,503,218,13,181,1,3,9,9,2,1,0,0,0,0,1,0
61074,2840,62,1,1,0,0,1,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,0
31686,2183,56,1,1,0,1,1,31,11,0,5,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0
80134,2564,48,1,1,0,1,0,40,1218,16,272,104,0,80,2,5,3,6,6,1,0,0,1,1,3,0
75027,2695,67,1,1,0,0,1,74,925,64,179,133,12,77,2,9,4,6,5,0,0,0,0,0,0,0
67546,2826,32,1,1,0,0,0,90,864,134,768,150,38,172,1,4,10,5,3,0,0,0,0,0,0,0
65176,2767,51,1,1,0,0,1,57,960,28,183,220,70,70,4,9,6,6,6,0,0,0,0,0,0,0
31160,2445,45,1,0,1,0,0,59,16,3,25,6,1,13,2,2,0,3,8,0,0,0,0,0,0,0
29938,2404,35,1,0,1,0,0,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,0
102692,2609,46,1,0,1,0,0,5,168,148,444,32,172,148,1,6,9,13,2,1,1,0,1,1,4,0
